"RefDes";"Name";"Value"
"ARD1";"ATMEGA328_PDIP28";""
"C1";"DiskCAP";"2200pf"
"C2";"DiskCAP";"100nf"
"C3";"DiskCAP";"2200pf"
"C4";"DiskCAP";"2200pf"
"C5";"DiskCAP";"2200pf"
"C6";"DiskCAP";"100nf"
"C7";"DiskCAP";"2200pf"
"C8";"DiskCAP";"2200pf"
"C9";"DiskCAP";"100nf"
"C10";"DiskCAP";"22pf"
"C11";"DiskCAP";"22pf"
"D1";"RECTIFIER";""
"D2";"1N4001";""
"J1";"LCD";""
"J2";"DIP SWD";"Header254mm_1x5"
"J3";"Header6x1_254";""
"LS1";"Buzzer_PCB";""
"Q1";"BC337-40";""
"Q2";"BC337-40";""
"R1";"RES_1";"22K"
"R2";"RES_1";"1K"
"R3";"RES_1";"2K2"
"R4";"RES_1";"1K"
"R5";"RES_1";"10K"
"R6";"RES_1";"2K2"
"R7";"RES_1";"1K"
"R8";"RES_1";"1K"
"R9";"306K";"22K"
"R10";"RES_1";"22K"
"R11";"RES_1";"10K"
"R12";"RES_1";"1K"
"R13";"RES_1";"1K"
"R14";"RES_1";"1K"
"R15";"RES_1";"22K"
"R16";"RES_1";"1M"
"R17";"RES_1";"1M"
"R18";"RES_1";"2K2"
"R19";"RES_1";"10K"
"R20";"RES_1";"1M"
"R21";"RES_1";"1M"
"R22";"RES_1";"2K2"
"R23";"306K";"10K"
"R24";"306K";"22K"
"R25";"RES_1";"22K"
"R26";"RES_1";"10K"
"R27";"RES_1";"1K"
"R28";"RES_1";"1K"
"R29";"RES_1";"1K"
"R30";"RES_1";"1K"
"R31";"RES_1";"22K"
"R32";"RES_1";"1M"
"R33";"RES_1";"1M"
"R34";"RES_1";"2K2"
"R35";"RES_1";"10K"
"R36";"RES_1";"1M"
"R37";"RES_1";"1M"
"R38";"RES_1";"2K2"
"R39";"306K";"10K"
"R40";"306K";"22K"
"R41";"RES_1";"22K"
"R42";"RES_1";"10K"
"R43";"RES_1";"1K"
"R44";"306K";""
"R45";"RES_1";"1k"
"R46";"RES_1";"1k"
"R47";"RES_1";"10K"
"R48";"RES_1";"10K"
"R49";"RES_THERMIS_NTC";"NTC"
"R50";"RES_1";"100K"
"S2";"B3F-1000";""
"U1";"Relay_AIMAC_1P";"PS OutPut"
"U2";"ToCT";""
"U3";"CT_1K5";""
"U4";"LM358N";""
"U5";"MCT2";""
"U6";"FromCT";""
"U7";"ToOutlet-2";""
"U8";"MCT2";""
"U9";"12VAC1";""
"U10";"Inlet-1";""
"U11";"LM7812CT";""
"U12";"7805";""
"U13";"cap_1000uf";"470uf"
"U14";"cap_1000uf";"470uf"
"U15";"TrfInput-1";""
"U16";"cap_1000uf";"470uf"
"U17";"12VAC2";""
"U18";"LM358N";""
"U19";"MOV";"mov"
"U20";"TrfInput-2";""
"U21";"Inlet-2";""
"U22";"LED";""
"U23";"ToOutlet-1";""
"U24";"frmTrf-1";""
"U25";"FrmTrf-2";""
"U26";"IR";""
"Y1";"ECS-110-S-1";""
